shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
KoubeDentetsu_Line,34.865255, 135.225928,299
KoubeDentetsu_Line,34.866159, 135.226054,300
KoubeDentetsu_Line,34.866628, 135.226067,301 ///神鉄道場駅
KoubeDentetsu_Line,34.867452, 135.226212,302
KoubeDentetsu_Line,34.867732, 135.226194,303
KoubeDentetsu_Line,34.868010, 135.226129,304
KoubeDentetsu_Line,34.868353, 135.225955,305
KoubeDentetsu_Line,34.868704, 135.225654,306
KoubeDentetsu_Line,34.870331, 135.223601,307
KoubeDentetsu_Line,34.872314, 135.221082,308
KoubeDentetsu_Line,34.873675, 135.219366,309
KoubeDentetsu_Line,34.873997, 135.219069,310
KoubeDentetsu_Line,34.874246, 135.218915,311
KoubeDentetsu_Line,34.874465, 135.218829,312
KoubeDentetsu_Line,34.874795, 135.218759,313
KoubeDentetsu_Line,34.875091, 135.218763,314
KoubeDentetsu_Line,34.875474, 135.218849,315
KoubeDentetsu_Line,34.875690, 135.218957,316
KoubeDentetsu_Line,34.875808, 135.219027,317
KoubeDentetsu_Line,34.875984, 135.219159,318
KoubeDentetsu_Line,34.876236, 135.219396,319
KoubeDentetsu_Line,34.876541, 135.219689,320
KoubeDentetsu_Line,34.876650, 135.219794,321
KoubeDentetsu_Line,34.876966, 135.220091,322   ///横山駅
KoubeDentetsu_Line,34.877601, 135.220702,323
KoubeDentetsu_Line,34.878992, 135.222061,324
KoubeDentetsu_Line,34.879403, 135.222495,325
KoubeDentetsu_Line,34.879805, 135.223086,326
KoubeDentetsu_Line,34.879986, 135.223458,327
KoubeDentetsu_Line,34.880222, 135.224083,328
KoubeDentetsu_Line,34.880438, 135.224775,329
KoubeDentetsu_Line,34.881167, 135.227480,330
KoubeDentetsu_Line,34.881768, 135.229502,331   ///三田本町駅
KoubeDentetsu_Line,34.881906, 135.229977,332
KoubeDentetsu_Line,34.882055, 135.230265,333
KoubeDentetsu_Line,34.882169, 135.230454,334
KoubeDentetsu_Line,34.882308, 135.230638,335
KoubeDentetsu_Line,34.882489, 135.230845,336
KoubeDentetsu_Line,34.882779, 135.231103,337
KoubeDentetsu_Line,34.885056, 135.232483,338
KoubeDentetsu_Line,34.885271, 135.232570,339
KoubeDentetsu_Line,34.885516, 135.232629,340
KoubeDentetsu_Line,34.885705, 135.232648,341
KoubeDentetsu_Line,34.885888, 135.232641,342
KoubeDentetsu_Line,34.886032, 135.232625,343
KoubeDentetsu_Line,34.886194, 135.232580,344
KoubeDentetsu_Line,34.886327, 135.232531,345
KoubeDentetsu_Line,34.886659, 135.232341,346
KoubeDentetsu_Line,34.886974, 135.232071,347
KoubeDentetsu_Line,34.887294, 135.231762,348
KoubeDentetsu_Line,34.888734, 135.229779,349  ///三田駅
   

Potorain_Line,34.694516,135.195193,1  ///三ノ宮駅
Potorain_Line,34.694826,135.195516,2
Potorain_Line,34.694969,135.195734,3
Potorain_Line,34.695014,135.195840,4
Potorain_Line,34.695012,135.195924,5
Potorain_Line,34.694999,135.195981,6
Potorain_Line,34.694963,135.196056,7
Potorain_Line,34.694828,135.196196,8
Potorain_Line,34.692431,135.197641,9 
Potorain_Line,34.689431,135.199423,10  ///貿易センター駅
Potorain_Line,34.699000,135.207000,11
Potorain_Line,34.700500,135.209500,12
